Study,Type,Rlab,dr,vr,OLab,do,vo
FSD,Self-Replication,1,0.14,0.002679125,1,0.115,0.002679125
FSD,Replication,3,0.29500000000000004,0.0026846825,1,0.115,0.002679125
FSD,Replication,2,0.085,0.0024396625,1,0.115,0.002679125
FSD,Replication,4,0.11000000000000001,0.0025065649999999997,1,0.115,0.002679125
Misattribution,Replication,2,0.27,0.002551723676614915,1,0.45899999999999996,0.0027597636244403815
Misattribution,Self-Replication,1,0.3605,0.002734868594646441,1,0.45899999999999996,0.0027597636244403815
Misattribution,Replication,4,0.38,0.002709495270439462,1,0.45899999999999996,0.0027597636244403815
Misattribution,Replication,3,0.349,0.0016896353038411594,1,0.45899999999999996,0.0027597636244403815
Self-Control,Replication,3,0.29000000000000004,0.0014073025,1,0.365,0.0027195425
Self-Control,Replication,4,0.28,0.00259921,1,0.365,0.0027195425
Self-Control,Self-Replication,1,0.271,0.0027011300000000004,1,0.365,0.0027195425
Self-Control,Replication,2,0.26,0.0023564225,1,0.365,0.0027195425
Tumor,Replication,4,0.375,0.0018880525,1,0.315,0.0027085000000000004
Tumor,Replication,2,0.395,0.00178569,1,0.315,0.0027085000000000004
Tumor,Replication,3,0.28,0.00179314,1,0.315,0.0027085000000000004
Tumor,Self-Replication,1,0.31,0.002708485,1,0.315,0.0027085000000000004
Minimal Groups,Replication,3,0.085,0.0024941799999999995,2,0.155,0.0023878099999999998
Minimal Groups,Replication,4,0.135,0.002125765,2,0.155,0.0023878099999999998
Minimal Groups,Replication,1,0.1,0.00267912,2,0.155,0.0023878099999999998
Minimal Groups,Self-Replication,2,0.09,0.0027433325,2,0.155,0.0023878099999999998
Orientation,Replication,1,0.56,0.0027788624999999997,2,0.51,0.0019727825
Orientation,Replication,3,0.595,0.0026463425,2,0.51,0.0019727825
Orientation,Self-Replication,2,0.475,0.0024819725000000004,2,0.51,0.0019727825
Orientation,Replication,4,0.555,0.0026102425,2,0.51,0.0019727825
Prediction,Self-Replication,2,0.155,0.002790545,2,0.08,0.0027723125
Prediction,Replication,1,0.135,0.0026827825000000005,2,0.08,0.0027723125
Prediction,Replication,4,0.185,0.0028237625000000002,2,0.08,0.0027723125
Prediction,Replication,3,0.135,0.0025789924999999997,2,0.08,0.0027723125
Redemption,Replication,4,0.115,0.0026592909930229854,2,-0.07500000000000001,0.002694552063618594
Redemption,Self-Replication,2,-0.065,0.0026804592414990114,2,-0.07500000000000001,0.002694552063618594
Redemption,Replication,3,0.137,0.0019180475986246112,2,-0.07500000000000001,0.002694552063618594
Redemption,Replication,1,0.1855,0.002681670158710828,2,-0.07500000000000001,0.002694552063618594
Cookies,Replication,2,0.29000000000000004,0.00202256,3,0.23500000000000001,0.0024117124999999996
Cookies,Replication,1,0.28,0.0034531024999999997,3,0.23500000000000001,0.0024117124999999996
Cookies,Replication,4,0.25,0.00226674,3,0.23500000000000001,0.0024117124999999996
Cookies,Self-Replication,3,0.215,0.0021825000000000004,3,0.23500000000000001,0.0024117124999999996
Fairness,Self-Replication,3,0.4485,6.972157287376774e-4,3,0.46799999999999997,0.0023853751444671356
Fairness,Replication,4,0.405,0.0026825364154550234,3,0.46799999999999997,0.0023853751444671356
Fairness,Replication,1,0.3335,0.0027092096790323063,3,0.46799999999999997,0.0023853751444671356
Fairness,Replication,2,0.525,0.002374059137014617,3,0.46799999999999997,0.0023853751444671356
Referrals,Replication,4,0.255,0.0024500000000000004,3,0.203,0.0024500000000000004
Referrals,Replication,2,0.195,6.25e-4,3,0.203,0.0024500000000000004
Referrals,Self-Replication,3,0.2605,0.001525,3,0.203,0.0024500000000000004
Referrals,Replication,1,0.23,0.0024500000000000004,3,0.203,0.0024500000000000004
Worse,Replication,1,0.272,0.0027003844737777793,3,0.61,0.0025885025
Worse,Self-Replication,3,0.5900000000000001,0.0018972189176802933,3,0.61,0.0025885025
Worse,Replication,2,0.375,0.0028574374911091724,3,0.61,0.0025885025
Worse,Replication,4,0.29500000000000004,0.0044260296269388825,3,0.61,0.0025885025
Ads,Replication,2,0.14,0.0028101125,4,0.21500000000000002,0.0026718500000000004
Ads,Replication,1,0.175,0.0026901225,4,0.21500000000000002,0.0026718500000000004
Ads,Self-Replication,4,0.32499999999999996,0.0026827925000000004,4,0.21500000000000002,0.0026718500000000004
Ads,Replication,3,0.245,0.00263738,4,0.21500000000000002,0.0026718500000000004
Labels,Replication,1,0.09,0.0026901225,4,0.205,0.0025691725000000004
Labels,Replication,3,0.435,0.0019626125,4,0.205,0.0025691725000000004
Labels,Replication,2,0.205,0.0032524225,4,0.205,0.0025691725000000004
Labels,Self-Replication,4,0.195,0.0026535924999999995,4,0.205,0.0025691725000000004
Misreporting,Replication,3,0.02305,0.001971687102406327,4,0.02,0.0028463825000000003
Misreporting,Self-Replication,4,0.11,0.0028050049999999997,4,0.02,0.0028463825000000003
Misreporting,Replication,1,0.023500000000000004,0.0032450625000000006,4,0.02,0.0028463825000000003
Misreporting,Replication,2,-0.045,0.0025594636340283312,4,0.02,0.0028463825000000003
Ostracism,Self-Replication,4,0.325,0.0027048125000000006,4,0.355,0.0027011300000000004
Ostracism,Replication,2,0.28,0.0024605425,4,0.355,0.0027011300000000004
Ostracism,Replication,3,0.445,0.00243604,4,0.355,0.0027011300000000004
Ostracism,Replication,1,0.3315,0.0027306099999999996,4,0.355,0.0027011300000000004
